Date/Time,Unit,Value,
2019-05-15, 3:52:00 PM,C,11.5
2019-05-15, 4:52:00 PM,C,12.5
2019-05-15, 5:52:00 PM,C,12
2019-05-15, 6:52:00 PM,C,11.5
2019-05-15, 7:52:00 PM,C,11.5
2019-05-15, 8:52:00 PM,C,11.5
2019-05-15, 9:52:00 PM,C,11.5
2019-05-15, 10:52:00 PM,C,11
2019-05-15, 11:52:00 PM,C,11
2019-05-16, 12:52:00 AM,C,11.5
2019-05-16, 1:52:00 AM,C,11
2019-05-16, 2:52:00 AM,C,11
2019-05-16, 3:52:00 AM,C,11
2019-05-16, 4:52:00 AM,C,10.5
2019-05-16, 5:52:00 AM,C,10.5
2019-05-16, 6:52:00 AM,C,10.5
2019-05-16, 7:52:00 AM,C,11
2019-05-16, 8:52:00 AM,C,11
2019-05-16, 9:52:00 AM,C,10.5
2019-05-16, 10:52:00 AM,C,10.5
2019-05-16, 11:52:00 AM,C,11
2019-05-16, 12:52:00 PM,C,10.5
2019-05-16, 1:52:00 PM,C,10.5
2019-05-16, 2:52:00 PM,C,10.5
2019-05-16, 3:52:00 PM,C,11.5
2019-05-16, 4:52:00 PM,C,11
2019-05-16, 5:52:00 PM,C,11.5
2019-05-16, 6:52:00 PM,C,11.5
2019-05-16, 7:52:00 PM,C,11
2019-05-16, 8:52:00 PM,C,11
2019-05-16, 9:52:00 PM,C,11
2019-05-16, 10:52:00 PM,C,10.5
2019-05-16, 11:52:00 PM,C,10.5
2019-05-17, 12:52:00 AM,C,10.5
2019-05-17, 1:52:00 AM,C,10.5
2019-05-17, 2:52:00 AM,C,10.5
2019-05-17, 3:52:00 AM,C,11
2019-05-17, 4:52:00 AM,C,11
2019-05-17, 5:52:00 AM,C,10
2019-05-17, 6:52:00 AM,C,10
2019-05-17, 7:52:00 AM,C,11
2019-05-17, 8:52:00 AM,C,11
2019-05-17, 9:52:00 AM,C,11
2019-05-17, 10:52:00 AM,C,10.5
2019-05-17, 11:52:00 AM,C,10.5
2019-05-17, 12:52:00 PM,C,11
2019-05-17, 1:52:00 PM,C,10.5
2019-05-17, 2:52:00 PM,C,10.5
2019-05-17, 3:52:00 PM,C,11
2019-05-17, 4:52:00 PM,C,11.5
2019-05-17, 5:52:00 PM,C,11
2019-05-17, 6:52:00 PM,C,11.5
2019-05-17, 7:52:00 PM,C,10.5
2019-05-17, 8:52:00 PM,C,10.5
2019-05-17, 9:52:00 PM,C,10.5
2019-05-17, 10:52:00 PM,C,10.5
2019-05-17, 11:52:00 PM,C,9.5
2019-05-18, 12:52:00 AM,C,9
2019-05-18, 1:52:00 AM,C,9.5
2019-05-18, 2:52:00 AM,C,9.5
2019-05-18, 3:52:00 AM,C,10
2019-05-18, 4:52:00 AM,C,10.5
2019-05-18, 5:52:00 AM,C,10.5
2019-05-18, 6:52:00 AM,C,10.5
2019-05-18, 7:52:00 AM,C,11
2019-05-18, 8:52:00 AM,C,14.5
2019-05-18, 9:52:00 AM,C,11
2019-05-18, 10:52:00 AM,C,10.5
2019-05-18, 11:52:00 AM,C,10.5
2019-05-18, 12:52:00 PM,C,10
2019-05-18, 1:52:00 PM,C,9.5
2019-05-18, 2:52:00 PM,C,10.5
2019-05-18, 3:52:00 PM,C,10.5
2019-05-18, 4:52:00 PM,C,11
2019-05-18, 5:52:00 PM,C,11
2019-05-18, 6:52:00 PM,C,11
2019-05-18, 7:52:00 PM,C,11
2019-05-18, 8:52:00 PM,C,11
2019-05-18, 9:52:00 PM,C,11
2019-05-18, 10:52:00 PM,C,11
2019-05-18, 11:52:00 PM,C,10.5
2019-05-19, 12:52:00 AM,C,10
2019-05-19, 1:52:00 AM,C,9.5
2019-05-19, 2:52:00 AM,C,10
2019-05-19, 3:52:00 AM,C,10.5
2019-05-19, 4:52:00 AM,C,10.5
2019-05-19, 5:52:00 AM,C,10.5
2019-05-19, 6:52:00 AM,C,10
2019-05-19, 7:52:00 AM,C,14.5
2019-05-19, 8:52:00 AM,C,19
2019-05-19, 9:52:00 AM,C,25.5
2019-05-19, 10:52:00 AM,C,13
2019-05-19, 11:52:00 AM,C,12.5
