SP,ID,Tank,Treat,Stage,Length,Thickness,Linear_shell_growth,Total_weight,Submerged_weight,Died,Notes
Cedar,CB55,1,19A,Final,31.67,1.86,22,5,2.29,,
Cedar,CB62,1,19A,Final,35.58,4.2,0,7.3,3.69,,
Cedar,CO11,1,19A,Final,26.48,2.88,0,2.6,1.24,,
Cedar,CO97,1,19A,Final,27.33,0.94,7,4,1.95,,
Heron,HG97,1,19A,Final,33.16,1.78,41,4.9,2.09,,
Heron,HW04,1,19A,Final,30.29,1.6,11,5.4,2.69,,
Heron,HW10,1,19A,Final,22.17,1.33,7,2.3,1.16,,
Heron,HW12,1,19A,Final,26.13,1.13,28,2.7,1.22,,
Heron,HW15,1,19A,Final,30.17,1.37,27,4.5,2.11,,
Heron,HW76,1,19A,Final,42.22,4.07,1,12,6.44,,
Heron,HW96,1,19A,Final,25.07,0.96,38,2.2,0.98,,
Kwak,KB27,1,19A,Final,32.88,1.31,25,2.9,1.44,,
Kwak,KB28,1,19A,Final,32.49,1.06,34,3.7,1.36,,
Kwak,KB44,1,19A,Final,40.27,0.3,46,5.4,1.83,,
Kwak,KB53,1,19A,Final,33.63,0.88,33,3.2,1.11,,
Kwak,KB97,1,19A,Final,35.01,1.29,31,4,1.4,,
Kwak,KG16,1,19A,Final,28.33,0.73,9,2.3,0.95,,
Kwak,KG77,1,19A,Final,32.72,0.6,24,3.6,1.33,,
Kwak,KG95,1,19A,Final,37.97,1.28,40,4.6,1.63,,
Pruth,PO24,1,19A,Final,,,,,,,
Pruth,PO62,1,19A,Final,35.06,0.72,25,4.6,1.86,,
Pruth,PO70,1,19A,Final,28.46,1.15,4,3,1.24,,
Pruth,PO96,1,19A,Final,32.11,2.52,2,4.4,1.9,,
Pruth,PY35,1,19A,Final,32.81,1.03,7,4.2,1.86,,
Pruth,PY70,1,19A,Final,35.22,0.59,36,4.5,1.99,,
Pruth,PY96,1,19A,Final,31.68,1.53,3,4.1,1.84,,
Cedar,CB13,2,22A,Final,,,,,,,
Cedar,CB16,2,22A,Final,,,,1.9,1.02,,
Cedar,CB60,2,22A,Final,,,,,,,
Cedar,CB89,2,22A,Final,28.46,3.17,0,4.1,2.07,,
Cedar,CO17,2,22A,Final,32.71,3.39,0,6.2,3.27,,
Cedar,CO42,2,22A,Final,,,,,,,
Cedar,CO48,2,22A,Final,,,,,,,
Heron,HG55,2,22A,Final,,,,,,,
Heron,HG67,2,22A,Final,21.33,1.39,5,1.9,0.97,,
Heron,HG71,2,22A,Final,,,,,,,
Heron,HW13,2,22A,Final,24.1,2.8,1,2.4,1.18,,
Heron,HW45,2,22A,Final,,,,,,,
Heron,HW52,2,22A,Final,,,,,,,
Heron,HW58,2,22A,Final,,,,,,,
Kwak,KB51,2,22A,Final,,,,,,,
Kwak,KB93,2,22A,Final,22.66,0.87,3,1.3,0.51,,
Kwak,KB98,2,22A,Final,,,,,,,
Kwak,KB99,2,22A,Final,,,,,,,
Kwak,KG05,2,22A,Final,,,,,,,
Kwak,KG09,2,22A,Final,30.07,0.98,8,2.7,1.1,,
Kwak,KG18,2,22A,Final,,,,,,,
Pruth,PO05,2,22A,Final,,,,,,,
Pruth,PO82,2,22A,Final,31.25,1.59,2,3.7,1.69,,
Pruth,PY08,2,22A,Final,,,,,,,
Pruth,PY26,2,22A,Final,,,,,,,
Pruth,PY72,2,22A,Final,,,,,,,
Pruth,PY81,2,22A,Final,,,,,,,
Pruth,PY97,2,22A,Final,,,,,,,
Cedar,CB01,3,22A,Final,,,,,,,
Cedar,CB12,3,22A,Final,,,,,,,
Cedar,CO13,3,22A,Final,,,,,,,
Cedar,CO20,3,22A,Final,,,,,,,
Cedar,CO33,3,22A,Final,,,,,,,
Cedar,CO54,3,22A,Final,,,,,,,
Cedar,CO86,3,22A,Final,,,,,,,
Heron,HG65,3,22A,Final,,,,,,,
Heron,HG80,3,22A,Final,,,,,,,
Heron,HG89,3,22A,Final,,,,,,,
Heron,HW09,3,22A,Final,,,,,,,
Heron,HW11,3,22A,Final,,,,,,,
Heron,HW22,3,22A,Final,,,,,,,
Heron,HW27,3,22A,Final,,,,,,,
Kwak,KB03,3,22A,Final,,,,,,,
Kwak,KB62,3,22A,Final,,,,,,,
Kwak,KB81,3,22A,Final,,,,,,,
Kwak,KB87,3,22A,Final,,,,,,,
Kwak,KB88,3,22A,Final,,,,,,,
Kwak,KG75,3,22A,Final,,,,,,,
Kwak,KG91,3,22A,Final,,,,,,,
Pruth,PO20,3,22A,Final,,,,,,,
Pruth,PO23,3,22A,Final,,,,,,,
Pruth,PO32,3,22A,Final,,,,,,,
Pruth,PO44,3,22A,Final,,,,,,,
Pruth,PY06,3,22A,Final,,,,,,,
Pruth,PY16,3,22A,Final,,,,,,,
Pruth,PY66,3,22A,Final,,,,,,,
Cedar,CB10,4,15A,Final,31.73,1.1,7,5,2.34,,
Cedar,CB11,4,15A,Final,30.07,1.58,31,3.6,1.65,,
Cedar,CB21,4,15A,Final,32.67,0.3,33,4.3,1.83,,
Cedar,CB34,4,15A,Final,30.1,0.52,19,3.9,1.77,,
Cedar,CB36,4,15A,Final,34.78,1.03,34,5.4,2.34,,
Cedar,CB71,4,15A,Final,34.57,0.62,27,6.3,2.74,,
Cedar,CO26,4,15A,Final,34.77,1.9,3,6.5,3.23,,
Heron,HG78,4,15A,Final,28.29,0.65,19,3.1,1.41,,
Heron,HG82,4,15A,Final,34.35,0.7,33,5.7,2.55,,
Heron,HG88,4,15A,Final,35.58,0.46,38,5.3,2.19,,
Heron,HG90,4,15A,Final,33.31,0.96,31,4.8,2.2,,
Heron,HW19,4,15A,Final,34.29,0.65,19,5.6,2.39,,
Heron,HW50,4,15A,Final,35.65,0.8,14,7.6,3.94,,
Heron,HW88,4,15A,Final,27.31,0.66,27,2.6,1.23,,
Kwak,KB41,4,15A,Final,32.32,0.74,48,2.9,0.95,,
Kwak,KB42,4,15A,Final,31.48,1.13,36,2.8,0.99,,
Kwak,KB50,4,15A,Final,38.57,0.3,55,4.8,1.62,,
Kwak,KB76,4,15A,Final,35.07,0.3,46,3.5,1.21,,
Kwak,KG02,4,15A,Final,36.42,0.4,47,4.2,1.43,,
Kwak,KG08,4,15A,Final,39.88,0.2,48,4.6,1.21,,
Kwak,KG27,4,15A,Final,31.67,0.4,36,2.8,0.89,,
Pruth,PO18,4,15A,Final,32.31,1,7,4,1.6,,
Pruth,PO22,4,15A,Final,36.52,0.3,27,4.2,1.53,,
Pruth,PY07,4,15A,Final,28.25,0.01,17,2.5,0.92,,
Pruth,PY65,4,15A,Final,34.93,0.6,24,4.6,1.8,,
Pruth,PY83,4,15A,Final,33.02,1,5,4.1,1.66,,
Pruth,PY89,4,15A,Final,31.17,0.2,27,3,1.16,,
Pruth,PY92,4,15A,Final,35.78,0.5,23,4.3,1.64,,
Cedar,CB17,5,19A,Final,,,,,,,
Cedar,CB19,5,19A,Final,,,,,,,
Cedar,CB28,5,19A,Final,,,,,,,
Cedar,CB51,5,19A,Final,,,,,,,
Cedar,CO40,5,19A,Final,,,,,,,
Cedar,CO89,5,19A,Final,,,,,,,
Cedar,CY38,5,19A,Final,,,,,,,
Heron,HG22,5,19A,Final,,,,,,,
Heron,HG37,5,19A,Final,,,,,,,
Heron,HG52,5,19A,Final,,,,,,,
Heron,HG84,5,19A,Final,,,,,,,
Heron,HW01,5,19A,Final,,,,,,,
Heron,HW25,5,19A,Final,,,,,,,
Heron,HW41,5,19A,Final,,,,,,,
Kwak,KB03,5,19A,Final,,,,,,,
Kwak,KB07,5,19A,Final,,,,,,,
Kwak,KB23,5,19A,Final,,,,,,,
Kwak,KB82,5,19A,Final,,,,,,,
Kwak,KB87,5,19A,Final,,,,,,,
Kwak,KG66,5,19A,Final,,,,,,,
Kwak,KG71,5,19A,Final,,,,,,,
Pruth,PO38,5,19A,Final,,,,,,,
Pruth,PO89,5,19A,Final,,,,,,,
Pruth,PY18,5,19A,Final,,,,,,,
Pruth,PY30,5,19A,Final,,,,,,,
Pruth,PY85,5,19A,Final,,,,,,,
Pruth,PY87,5,19A,Final,,,,,,,
Pruth,PY99,5,19A,Final,,,,,,,
Cedar,CB23,6,12A,Final,,,,,,,
Cedar,CB35,6,12A,Final,,,,,,,
Cedar,CB63,6,12A,Final,,,,,,,
Cedar,CB83,6,12A,Final,,,,,,,
Cedar,CB97,6,12A,Final,,,,,,,
Cedar,CO27,6,12A,Final,,,,,,,
Cedar,CO49,6,12A,Final,,,,,,,
Heron,HG36,6,12A,Final,,,,,,,
Heron,HG38,6,12A,Final,,,,,,,
Heron,HG40,6,12A,Final,,,,,,,
Heron,HG59,6,12A,Final,,,,,,,
Heron,HW43,6,12A,Final,,,,,,,
Heron,HW77,6,12A,Final,,,,,,,
Heron,HW78,6,12A,Final,,,,,,,
Kwak,KB25,6,12A,Final,,,,,,,
Kwak,KB46,6,12A,Final,,,,,,,
Kwak,KB60,6,12A,Final,,,,,,,
Kwak,KB77,6,12A,Final,,,,,,,
Kwak,KB92,6,12A,Final,,,,,,,
Kwak,KG12,6,12A,Final,,,,,,,
Kwak,KG88,6,12A,Final,,,,,,,
Pruth,PO11,6,12A,Final,,,,,,,
Pruth,PO64,6,12A,Final,,,,,,,
Pruth,PO66,6,12A,Final,,,,,,,
Pruth,PO72,6,12A,Final,,,,,,,
Pruth,PO74,6,12A,Final,,,,,,,
Pruth,PO85,6,12A,Final,,,,,,,
Pruth,PO92,6,12A,Final,,,,,,,
Cedar,CB48,7,15A,Final,34.5,1.49,5,6.2,2.97,,
Cedar,CB84,7,15A,Final,27.24,0.45,22,3.4,1.51,,
Cedar,CO22,7,15A,Final,28.24,0.31,22,2.9,1.43,,
Cedar,CO36,7,15A,Final,24.91,0.37,23,2.2,1.01,,
Cedar,CO90,7,15A,Final,35.52,0.67,24,7,3.13,,
Cedar,CO96,7,15A,Final,35.08,0.53,21,6.8,3.01,,
Cedar,CO98,7,15A,Final,34.6,0.6,36,6.5,2.85,,
Heron,HG21,7,15A,Final,26.14,0.71,8,2.8,1.32,,
Heron,HG47,7,15A,Final,26.72,0.48,39,,,,
Heron,HG62,7,15A,Final,37.83,0.65,51,6.7,2.82,,
Heron,HG75,7,15A,Final,31.81,0.56,20,4.9,2.4,,
Heron,HG86,7,15A,Final,31.97,0.44,23,4.9,2.32,,
Heron,HW18,7,15A,Final,34.52,0.45,40,5.8,2.48,,
Heron,HW57,7,15A,Final,33.88,0.64,26,6.5,2.96,,
Kwak,KB13,7,15A,Final,31.84,0.6,36,2.9,1.02,,
Kwak,KB29,7,15A,Final,33.49,0.4,46,3.1,1.19,,
Kwak,KB64,7,15A,Final,38.28,0.4,46,4.5,1.41,,
Kwak,KG06,7,15A,Final,40.96,0.3,64,5.6,1.71,,
Kwak,KG33,7,15A,Final,36,0.2,40,3.7,1.29,,
Kwak,KG56,7,15A,Final,38.27,0.2,44,5,1.77,,
Kwak,KG87,7,15A,Final,36.72,0.4,42,4,1.41,,
Kwak,KG97,7,15A,Final,30.83,0.3,24,2.9,0.98,,
Pruth,PO15,7,15A,Final,39.08,0.3,32,5.7,2.14,,
Pruth,PO39,7,15A,Final,,,,,,,
Pruth,PO43,7,15A,Final,38.73,0.4,34,5.7,2.15,,
Pruth,PY03,7,15A,Final,34.32,0.2,27,4.3,1.72,,
Pruth,PY10,7,15A,Final,33.49,0.2,25,3.8,1.51,,
Pruth,PY14,7,15A,Final,31.16,0.4,21,3.6,1.27,,
Pruth,PY33,7,15A,Final,39.43,0.2,27,5.7,2.09,,
Cedar,CB40,8,22A,Final,28.28,3.35,1,4.1,2.06,,
Cedar,CB49,8,22A,Final,25.7,3.8,0,3,1.51,,
Cedar,CB53,8,22A,Final,23.56,3.28,0,2.3,1.16,,
Cedar,CB54,8,22A,Final,,,,,,,
Cedar,CB93,8,22A,Final,22.53,2.66,1,2,1.02,,
Cedar,CO14,8,22A,Final,,,,,,,
Cedar,CO34,8,22A,Final,,,,,,,
Heron,HG54,8,22A,Final,25.38,2.93,2,2.8,1.36,,
Heron,HG79,8,22A,Final,27.34,1.38,5,3.7,1.84,,
Heron,HW26,8,22A,Final,20.07,1.63,2,1.4,0.71,,
Heron,HW28,8,22A,Final,36.65,3.27,0,6.6,3.23,,
Heron,HW38,8,22A,Final,20.65,2.85,1,1.9,0.9,,
Heron,HW84,8,22A,Final,26.33,3.41,3,3.9,2.01,,
Heron,HW94,8,22A,Final,20.03,2.45,1,1.5,0.73,,
Kwak,KB09,8,22A,Final,,,,,,,
Kwak,KB37,8,22A,Final,,,,,,,
Kwak,KB61,8,22A,Final,,,,,,,
Kwak,KG04,8,22A,Final,,,,,,,
Kwak,KG60,8,22A,Final,,,,,,,
Kwak,KG67,8,22A,Final,,,,,,,
Kwak,KG84,8,22A,Final,,,,,,,
Pruth,PO04,8,22A,Final,,,,,,,
Pruth,PO40,8,22A,Final,,,,,,,
Pruth,PO41,8,22A,Final,,,,,,,
Pruth,PO90,8,22A,Final,,,,,,,
Pruth,PO98,8,22A,Final,,,,,,,
Pruth,PY02,8,22A,Final,,,,,,,
Pruth,PY21,8,22A,Final,,,,,,,
Cedar,CB03,9,12A,Final,28.44,0.51,22,3.5,1.65,,
Cedar,CB25,9,12A,Final,35.45,0.52,26,5.1,2.33,,
Cedar,CB44,9,12A,Final,28.33,0.63,10,,,,
Cedar,CB57,9,12A,Final,32.94,0.62,20,5.4,2.53,,
Cedar,CB69,9,12A,Final,37.95,0.89,20,7.7,3.72,,
Cedar,CB79,9,12A,Final,36.06,0.7,20,6.5,3.12,,
Cedar,CO32,9,12A,Final,24.4,1,5,3.3,1.74,,
Cedar,CO44,9,12A,Final,26.27,0.43,31,2.3,1.06,,
Heron,HG53,9,12A,Final,30.44,0.42,26,4.2,2.02,,
Heron,HG63,9,12A,Final,30.95,1.1,7,6.1,3.02,,
Heron,HG66,9,12A,Final,27.36,0.51,33,2.8,1.14,,
Heron,HG91,9,12A,Final,30.03,1.03,15,5,2.34,,
Heron,HW51,9,12A,Final,33.88,0.75,37,5.2,2.18,,
Heron,HW55,9,12A,Final,30.38,0.4,30,4.3,1.9,,
Heron,HW85,9,12A,Final,25.43,0.6,21,2.2,1.06,,
Heron,HW90,9,12A,Final,35.24,0.33,41,5.8,2.52,,
Kwak,KB02,9,12A,Final,34,0.4,49,3.3,1,,
Kwak,KB39,9,12A,Final,39.37,0.5,35,5,1.78,,
Kwak,KB57,9,12A,Final,36.73,0.6,49,3.7,1.25,,
Kwak,KB85,9,12A,Final,39.09,0.3,31,5,1.75,,
Kwak,KG03,9,12A,Final,33.14,0.3,51,3.2,1.08,,
Kwak,KG35,9,12A,Final,40.08,0.1,35,4.9,1.93,,
Kwak,KG61,9,12A,Final,41.27,0.3,50,5.5,1.84,,
Pruth,PO25,9,12A,Final,36.2,0.89,25,5.2,2.01,,
Pruth,PO71,9,12A,Final,30.16,0.56,12,2.9,1.29,,
Pruth,PO75,9,12A,Final,38.52,0.56,29,5.2,1.87,,
Pruth,PO80,9,12A,Final,33.59,0.5,12,4.5,1.88,,
Pruth,PY17,9,12A,Final,37.18,0.42,31,4.4,1.57,,
Pruth,PY23,9,12A,Final,41.18,0.35,31,5.8,2.14,,
Pruth,PY57,9,12A,Final,32.41,0.5,21,4,1.57,,
Cedar,CB39,10,19A,Final,32.07,3.32,3,6.6,3.33,,
Cedar,CB41,10,19A,Final,34.7,4.23,2,7,3.46,,
Cedar,CB94,10,19A,Final,33.46,3.19,2,6.1,3.05,,
Cedar,CB98,10,19A,Final,27.27,3.31,3,3.7,1.87,,
Cedar,CO15,10,19A,Final,22.58,2.76,0,2.3,1.22,,
Cedar,CO19,10,19A,Final,34.81,0.74,43,5.5,2.55,,
Cedar,CO94,10,19A,Final,30.92,1.1,27,5.3,2.59,,
Heron,HG19,10,19A,Final,25.98,1.03,9,3.5,1.76,,
Heron,HG20,10,19A,Final,28.75,0.6,8,4.7,2.49,,
Heron,HG42,10,19A,Final,23.49,0.5,3,2.5,1.27,,
Heron,HG48,10,19A,Final,26.47,2.98,0,3.3,1.62,,
Heron,HG70,10,19A,Final,19.81,0.59,18,1.3,0.61,,
Heron,HW61,10,19A,Final,30.41,1.58,5,4.4,2.26,,
Heron,HW70,10,19A,Final,38.14,3.65,2,9.2,4.68,,
Kwak,KB72,10,19A,Final,35.15,0.94,49,3.7,1.25,,
Kwak,KB74,10,19A,Final,27.15,0.5,14,2.1,0.8,,
Kwak,KG24,10,19A,Final,30.04,0.78,31,2.8,1.02,,
Kwak,KG30,10,19A,Final,28.02,0.86,22,3.3,1.22,,
Kwak,KG54,10,19A,Final,34.13,0.7,37,4.1,1.54,,
Kwak,KG83,10,19A,Final,31.15,0.8,34,3.1,1.13,,
Kwak,KG85,10,19A,Final,33.93,0.4,47,3.6,1.21,,
Pruth,PO08,10,19A,Final,32.23,0.9,4,4.8,2.14,,
Pruth,PO10,10,19A,Final,29.27,0.9,5,2.9,1.24,,
Pruth,PO16,10,19A,Final,28.52,0.8,22,3.1,1.27,,
Pruth,PO56,10,19A,Final,28.84,0.6,8,3.1,1.26,,
Pruth,PO95,10,19A,Final,35.79,0.5,27,5.2,2.2,,
Pruth,PY60,10,19A,Final,29.4,0.8,8,3.4,1.44,,
Pruth,PY80,10,19A,Final,30.52,0.9,5,3.2,1.38,,
Cedar,CB42,11,15A,Final,24.81,2.92,0,,,,Dropped shell
Cedar,CB45,11,15A,Final,33.09,2.53,4,6,2.87,,
Cedar,CB66,11,15A,Final,28.05,0.63,23,2.9,1.39,,
Cedar,CB77,11,15A,Final,32.39,0.62,38,4.9,2.11,,
Cedar,CB81,11,15A,Final,31.66,0.8,32,3.8,1.6,,
Cedar,CO06,11,15A,Final,38.73,2.57,5,9.6,4.61,,
Cedar,CO38,11,15A,Final,25.18,0.7,25,2.1,1.04,,
Heron,HG29,11,15A,Final,34.36,0.91,41,5.6,2.52,,
Heron,HG31,11,15A,Final,34.5,0.73,30,6.2,2.8,,
Heron,HG56,11,15A,Final,39.93,0.88,15,10.1,5.25,,
Heron,HG96,11,15A,Final,19.47,0.68,6,1.4,0.69,,
Heron,HW05,11,15A,Final,38.26,0.74,47,6.2,2.64,,
Heron,HW06,11,15A,Final,34.35,0.73,26,5.9,2.77,,
Heron,HW82,11,15A,Final,20.12,2.42,0,1.5,0.79,,
Kwak,KB16,11,15A,Final,38.8,1.56,57,4.9,1.58,,
Kwak,KB75,11,15A,Final,39.13,1.05,55,4.7,1.58,,
Kwak,KB83,11,15A,Final,31.32,0.64,33,2.5,0.88,,
Kwak,KG07,11,15A,Final,45.34,1.57,50,7.5,2.58,,
Kwak,KG11,11,15A,Final,39.13,1.58,47,5.1,1.89,,
Kwak,KG15,11,15A,Final,24.74,0.73,11,1.8,0.62,,
Kwak,KG92,11,15A,Final,38,0.79,47,4.9,1.74,,
Pruth,PO13,11,15A,Final,33.48,0.67,17,4.1,1.78,,
Pruth,PO55,11,15A,Final,36.79,0.81,40,3.8,1.45,,
Pruth,PO68,11,15A,Final,36.61,0.51,33,4.5,1.72,,
Pruth,PO77,11,15A,Final,38.27,0.81,35,5.1,1.92,,
Pruth,PY01,11,15A,Final,39.41,0.88,35,5.3,2.01,,
Pruth,PY31,11,15A,Final,37.6,0.94,40,4.5,1.68,,
Pruth,PY88,11,15A,Final,32.56,1.04,7,4.3,1.91,,
Cedar,CB24,12,12A,Final,35.56,2.52,5,6.6,3.27,,
Cedar,CB75,12,12A,Final,26.12,1,8,3.3,1.6,,
Cedar,CB80,12,12A,Final,28.22,0.7,23,3.5,1.57,,
Cedar,CB82,12,12A,Final,31.6,1.07,7,5.1,2.46,,
Cedar,CO18,12,12A,Final,32.29,0.71,25,5.3,2.58,,
Cedar,CO99,12,12A,Final,30.68,0.93,35,3.8,1.74,,
Cedar,CY41,12,12A,Final,28.29,0.7,37,2.5,1.21,,
Heron,HG61,12,12A,Final,32.72,0.52,30,4.9,2.24,,
Heron,HG69,12,12A,Final,40.94,0.47,32,9.7,4.49,,
Heron,HG73,12,12A,Final,33.07,0.75,34,4.5,1.94,,
Heron,HG74,12,12A,Final,29.41,0.82,22,4.2,1.92,,
Heron,HG99,12,12A,Final,29.54,0.69,20,4.7,2.19,,
Heron,HW35,12,12A,Final,29.82,0.79,30,3.2,1.51,,
Heron,HW42,12,12A,Final,30.74,0.78,21,4.4,2.15,,
Heron,HW99,12,12A,Final,26.89,0.45,29,2.5,1.09,,
Kwak,KB08,12,12A,Final,37.18,0.81,45,4.4,1.41,,
Kwak,KB15,12,12A,Final,36.86,0.97,54,4.4,1.35,,
Kwak,KB17,12,12A,Final,36.76,0.83,46,4.3,1.36,,
Kwak,KB55,12,12A,Final,35.42,0.58,48,3.8,1.27,,
Kwak,KG10,12,12A,Final,36.37,1.25,52,3.9,1.17,,
Kwak,KG69,12,12A,Final,38.67,0.72,45,5.1,1.69,,
Kwak,KG73,12,12A,Final,36.97,1.09,36,4.9,1.72,,
Pruth,PO06,12,12A,Final,32.96,0.6,16,3.5,1.44,,
Pruth,PO07,12,12A,Final,33.3,0.69,21,4.7,1.87,,
Pruth,PO17,12,12A,Final,31.37,0.82,11,3.9,1.68,,
Pruth,PO78,12,12A,Final,35.43,0.91,27,4.4,1.78,,
Pruth,PY62,12,12A,Final,34.97,0.58,32,4.6,1.76,,
Pruth,PY75,12,12A,Final,33.04,0.91,24,3.5,1.41,,
Pruth,PY84,12,12A,Final,33.12,0.59,27,3.4,1.37,,
Cedar,CB44,13,19A,Final,28.33,0.63,10,4.2,2.01,,
Cedar,CB64,13,19A,Final,35.73,0.69,7,7.4,3.6,,
Cedar,CB68,13,19A,Final,30.86,0.63,33,3.9,1.72,,
Cedar,CB74,13,19A,Final,28.53,3.01,1,3.3,1.62,,
Cedar,CO21,13,19A,Final,31.93,0.8,30,4.6,2.11,,
Cedar,CO91,13,19A,Final,42.7,0.9,28,11.4,5.26,,
Cedar,CO95,13,19A,Final,21.03,0.68,15,1.5,0.69,,
Heron,HG45,13,19A,Final,31.33,0.64,40,4.1,1.96,,
Heron,HG81,13,19A,Final,32.7,0.96,29,5.1,2.37,,
Heron,HG85,13,19A,Final,27.52,0.88,28,3.5,1.7,,
Heron,HW23,13,19A,Final,31.28,0.5,30,4.4,1.97,,
Heron,HW34,13,19A,Final,22.06,0.92,21,1.6,0.82,,
Heron,HW47,13,19A,Final,36.23,1.01,11,8.5,4.36,,
Heron,HW89,13,19A,Final,32.68,0.8,33,4.9,2.29,,
Kwak,KB05,13,19A,Final,38.44,0.75,40,4.7,1.61,,
Kwak,KB84,13,19A,Final,35.71,1.46,39,4.2,1.5,,
Kwak,KB94,13,19A,Final,36.76,0.57,45,4.2,1.43,,
Kwak,KG32,13,19A,Final,33.03,0.91,34,3.6,1.36,,
Kwak,KG62,13,19A,Final,36.25,0.86,39,4.2,1.54,,
Kwak,KG81,13,19A,Final,37.14,1.3,44,4.5,1.63,,
Kwak,KG98,13,19A,Final,33.63,0.96,38,3.3,1.15,,
Pruth,PO21,13,19A,Final,30.49,0.98,15,3.8,1.59,,
Pruth,PO61,13,19A,Final,31.93,1.3,5,3.6,1.46,,
Pruth,PO79,13,19A,Final,33.78,0.95,31,3.8,1.48,,
Pruth,PY24,13,19A,Final,33.51,0.68,32,4.2,1.62,,
Pruth,PY86,13,19A,Final,30.93,1.06,9,3.2,1.28,,
Pruth,PY93,13,19A,Final,33.87,1.21,14,4.5,1.9,,
Cedar,CB20,14,15A,Final,26.21,0.82,13,3.4,1.71,,
Cedar,CB59,14,15A,Final,34.53,1.02,18,5.4,2.53,,
Cedar,CO03,14,15A,Final,28.89,0.63,37,3.2,1.44,,
Cedar,CO10,14,15A,Final,24.69,0.37,17,2.4,1.07,,
Cedar,CO45,14,15A,Final,38.55,2.71,4,9.9,4.97,,
Cedar,CO46,14,15A,Final,,,,,,,
Cedar,CO87,14,15A,Final,36.22,0.95,33,7.4,3.49,,
Heron,HG83,14,15A,Final,,,,,,,
Heron,HW30,14,15A,Final,23.75,0.59,22,3.9,1,,
Heron,HW33,14,15A,Final,,,,,,,
Heron,HW48,14,15A,Final,39.57,1,25,8,3.7,,
Heron,HW53,14,15A,Final,35.88,0.89,9,6.4,3.14,,
Heron,HW60,14,15A,Final,30.17,0.72,32,4.1,1.85,,
Heron,HW71,14,15A,Final,28.73,0.54,33,3,1.34,,
Kwak,KB26,14,15A,Final,35.86,0.74,45,3.9,1.32,,
Kwak,KB54,14,15A,Final,36.17,0.63,47,4.2,1.34,,
Kwak,KB89,14,15A,Final,31.2,0.5,36,2.9,1.01,,
Kwak,KB90,14,15A,Final,33.69,1.07,40,3.6,1.24,,
Kwak,KG65,14,15A,Final,,,,,,,
Kwak,KG68,14,15A,Final,32.98,0.64,43,3.2,0.99,,
Kwak,KG99,14,15A,Final,39.68,0.49,49,5.9,2.02,,
Pruth,PO14,14,15A,Final,28.41,0.74,13,2.9,1.18,,
Pruth,PO30,14,15A,Final,32.64,0.66,28,2.1,1.57,,
Pruth,PO33,14,15A,Final,37.32,0.54,31,4.9,1.72,,
Pruth,PO53,14,15A,Final,41.39,0.84,38,5.9,2.22,,
Pruth,PO83,14,15A,Final,,,,,,,
Pruth,PY20,14,15A,Final,35.64,0.67,26,5.6,2.15,,
Pruth,PY29,14,15A,Final,24.1,0.72,9,1.9,0.78,,
Cedar,CB09,15,22A,Final,,,,,,,
Cedar,CB31,15,22A,Final,32.65,3.4,0,6.2,3.06,,
Cedar,CB65,15,22A,Final,,,,,,,
Cedar,CB90,15,22A,Final,,,,,,,
Cedar,CO01,15,22A,Final,,,,,,,
Cedar,CO24,15,22A,Final,36.5,2.93,0,6.9,2.42,,
Cedar,CO51,15,22A,Final,,,,,,,
Heron,HG43,15,22A,Final,29.28,3.56,0,4.8,2.65,,
Heron,HG49,15,22A,Final,27.26,3.92,0,4,1.98,,
Heron,HG87,15,22A,Final,26.76,3.56,0,3.6,1.89,,
Heron,HW29,15,22A,Final,,,,,,,
Heron,HW36,15,22A,Final,19.51,1.98,1,1.6,0.82,,
Heron,HW74,15,22A,Final,,,,,,,
Heron,HW97,15,22A,Final,21.09,2.27,2,2.1,1.08,,
Kwak,KB18,15,22A,Final,31.89,1.2,2,2.9,1.07,,
Kwak,KB20,15,22A,Final,,,,,,,
Kwak,KB48,15,22A,Final,29.15,0.79,7,2.5,0.86,,
Kwak,KB59,15,22A,Final,27.33,0.6,2,,,,
Kwak,KG74,15,22A,Final,,,,,,,
Kwak,KG82,15,22A,Final,26.08,0.64,6,1.7,0.59,,
Kwak,KG93,15,22A,Final,,,,,,,
Pruth,PO52,15,22A,Final,,,,,,,
Pruth,PO81,15,22A,Final,,,,,,,
Pruth,PY55,15,22A,Final,,,,,,,
Pruth,PY59,15,22A,Final,,,,,,,
Pruth,PY91,15,22A,Final,,,,,,,
Pruth,PY95,15,22A,Final,,,,,,,
Pruth,PY98,15,22A,Final,,,,,,,
Cedar,CB08,16,12A,Final,25.12,0.73,13,2.6,1.26,,
Cedar,CB14,16,12A,Final,29.99,0.76,21,3.7,1.78,,
Cedar,CB22,16,12A,Final,30.86,0.57,20,4.4,1.93,,
Cedar,CB50,16,12A,Final,37.67,0.67,23,8,3.54,,
Cedar,CO05,16,12A,Final,34.72,1.35,8,6.6,3.17,,
Cedar,CO23,16,12A,Final,,,,,,,
Cedar,CO28,16,12A,Final,22.84,0.58,23,1.9,0.92,,
Heron,HW16,16,12A,Final,31.02,0.78,28,4.3,1.9,,
Heron,HW32,16,12A,Final,25.96,0.74,37,2.3,1.01,,
Heron,HW40,16,12A,Final,26.42,0.95,20,3.3,1.52,,
Heron,HW67,16,12A,Final,37.77,1.62,10,7.9,3.78,,
Heron,HW69,16,12A,Final,32.78,0.66,30,5.6,2.42,,
