Date,Stage,Days_diff,SR,SP,OR,OS,Block,ID,L,Th,TW,SW,SG,DIED,OSTRINA,Notes,,,Legend,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,Y,CG09,36.85,1.36,7.4,3.76,,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,R,CG30,35.9,3.43,7.39,4.01,38,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,R,CG14,36.9,2.57,7.37,3.85,8,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,Y,CG35,36.22,2.84,7.35,3.93,19,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,O,CG44,35.03,3.49,7.32,3.9,35,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,R,CG14,37.05,2.5,7.25,3.69,7,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,R,CG01,33.01,3.19,7.25,3.88,19,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,R,CG12,36.64,1.92,7.22,3.78,,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,O,CG41,33.61,3.67,7.14,3.77,12,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG98,33.39,3.19,7.1,3.91,30,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,B,CG11,36.95,2.78,7.08,3.66,6,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,Y,CG22,35.53,2.14,7.05,3.78,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,R,CG43,36.44,1.54,7.04,3.63,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,B,CG21,35.39,3.03,7.03,3.66,29,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,O,CG95,33.49,2.37,6.93,3.76,38,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,O,CG41,33.68,3.35,6.88,3.6,12,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,R,CG38,34.44,2.99,6.88,3.56,28,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,Y,CG35,34.75,2.79,6.78,3.54,15,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,Y,CG28,33.68,3.79,6.74,3.43,18,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,B,CG24,34.47,2.83,6.73,3.45,5,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,B,CG11,36.33,3.06,6.65,3.32,2,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,O,CG06,34.15,3.37,6.57,3.47,2,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,R,CG27,33.15,3.36,6.52,3.52,38,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,Y,CG48,32.61,3.38,6.51,3.48,14,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,Y,CG25,33.77,3.25,6.47,3.2,22,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,Y,CG13,35.71,2.01,6.46,3.4,,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,B,CG31,33.97,2.7,6.42,3.39,0,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,B,CG31,33.87,2.71,6.4,3.44,1,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,R,CG01,31.77,2.68,6.33,3.31,10,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,B,CG17,34.54,1.72,6.31,3.21,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,O,CG16,33.37,2.87,6.28,3.39,0,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG06,34.51,2.08,6.27,3.23,,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,O,CG15,31.23,2.28,6.15,3.32,8,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,CEDAR,Calvert,Kwak,Y,CG48,32.15,2.91,6.14,3.3,12,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,B,CG24,30.84,1.99,6.11,2.8,,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,O,CG15,31.19,2.7,6.11,3.32,9,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,R,CG19,33.53,2.56,6.08,3.13,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,R,CG14,35.83,1.39,6.07,3.1,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,B,CG31,34.2,1.89,6.06,3.2,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG16,33.55,1.93,6.01,3.16,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,O,CG02,34.64,1.6,5.97,3,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,B,CG11,36.4,1.43,5.97,3.5,,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,R,CG36,30.38,3.18,5.79,3.24,5,0,0,,,,,
08-04-2019,Final,139,Nanaimo,CEDAR,Calvert,Kwak,Y,CG33,31.53,3.51,5.75,3.06,14,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,O,CG70,30,3.52,5.75,3.13,13,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,Y,CG46,32.24,2.94,5.72,3.17,34,0,0,,,,,
08-02-2019,Final,137,Nanaimo,CEDAR,Calvert,Pruth,O,CG45,31.68,3.45,5.72,3.08,9,0,0,,,,,
