Date,Tank,SP,Treatment,No_eaten_mussel,Init_snails,Final_snails,Per_cap,Notes
08-29-2018,19,H,22L,0,7,4,0,2 SHELL LESS
08-29-2018,19,K,22L,1,5,5,0.2,
08-29-2018,19,P,22L,1,4,3,0.285714286,1 SHELL LESS
08-29-2018,20,C,15L,8,7,7,1.142857143,
08-29-2018,20,H,15L,12,7,7,1.714285714,
08-29-2018,20,K,15L,12,7,7,1.714285714,
08-29-2018,20,P,15L,7,7,7,1,
08-29-2018,21,C,15L,10,7,7,1.428571429,
08-29-2018,21,H,15L,10,7,7,1.428571429,
08-29-2018,21,K,15L,8,7,7,1.142857143,
08-29-2018,21,P,15L,10,7,7,1.428571429,
08-29-2018,22,C,22L,0,7,7,0,
08-29-2018,22,H,22L,0,6,4,0,
08-29-2018,22,K,22L,0,5,5,0,
08-29-2018,22,P,22L,0,1,1,0,
08-29-2018,23,C,22L,1,7,7,0.142857143,
08-29-2018,23,H,22L,0,7,7,0,
08-29-2018,23,K,22L,0,3,3,0,
08-29-2018,23,P,22L,0,3,3,0,
08-29-2018,24,C,15L,9,7,7,1.285714286,
08-29-2018,24,H,15L,6,7,7,0.857142857,
08-29-2018,24,K,15L,9,7,7,1.285714286,
08-29-2018,24,P,15L,8,7,7,1.142857143,
09-05-2018,1,C,19A,3,7,7,0.428571429,
09-05-2018,1,H,19A,6,7,7,0.857142857,
09-05-2018,1,K,19A,11,8,8,1.375,
09-05-2018,1,P,19A,5,6,6,0.833333333,
09-05-2018,2,C,22A,0,3,3,0,
09-05-2018,2,H,22A,0,2,2,0,
09-05-2018,2,K,22A,1,2,2,0.5,
09-05-2018,2,P,22A,0,1,1,0,
09-05-2018,4,C,15A,9,7,7,1.285714286,
09-05-2018,4,H,15A,10,7,7,1.428571429,
09-05-2018,4,K,15A,11,7,7,1.571428571,
09-05-2018,4,P,15A,11,7,7,1.571428571,
09-05-2018,7,C,15A,10,7,7,1.428571429,
09-05-2018,7,H,15A,5,7,7,0.714285714,
09-05-2018,7,K,15A,10,8,8,1.25,
09-05-2018,7,P,15A,9,6,6,1.5,
09-05-2018,8,C,22A,0,4,4,0,
09-05-2018,8,H,22A,0,7,7,0,
09-05-2018,9,C,12A,6,7,7,0.857142857,
09-05-2018,9,H,12A,8,7,7,1.142857143,
09-05-2018,9,K,12A,9,7,7,1.285714286,
09-05-2018,9,P,12A,9,7,7,1.285714286,
09-05-2018,10,C,19A,4,7,7,0.571428571,
09-05-2018,10,H,19A,4,7,7,0.571428571,
09-05-2018,10,K,19A,10,7,7,1.428571429,
09-05-2018,10,P,19A,5,7,7,0.714285714,
09-05-2018,11,C,15A,6,7,7,0.857142857,
09-05-2018,11,H,15A,8,7,7,1.142857143,
09-05-2018,11,K,15A,9,7,7,1.285714286,
09-05-2018,11,P,15A,12,7,7,1.714285714,
09-05-2018,12,C,12A,4,7,7,0.571428571,
09-05-2018,12,H,12A,9,8,8,1.125,
09-05-2018,12,K,12A,9,7,7,1.285714286,
09-05-2018,12,P,12A,8,7,7,1.142857143,
09-05-2018,13,C,19A,8,7,7,1.142857143,
09-05-2018,13,H,19A,6,7,7,0.857142857,
09-05-2018,13,K,19A,9,7,7,1.285714286,
09-05-2018,13,P,19A,6,6,6,1,
09-05-2018,14,C,15A,9,6,6,1.5,
09-05-2018,14,H,15A,9,3,3,3,
09-05-2018,14,K,15A,10,6,6,1.666666667,
09-05-2018,14,P,15A,9,6,6,1.5,
09-05-2018,15,C,22A,0,3,3,0,
09-05-2018,15,H,22A,0,6,6,0,
09-05-2018,15,K,22A,0,4,4,0,
09-05-2018,15,P,22A,0,2,2,0,
09-05-2018,16,C,12A,7,6,6,1.166666667,
09-05-2018,16,H,12A,7,7,7,1,
09-05-2018,16,K,12A,9,7,7,1.285714286,
09-05-2018,16,P,12A,9,7,7,1.285714286,
09-05-2018,17,C,15L,7,7,7,1,
09-05-2018,17,H,15L,8,7,7,1.142857143,
09-05-2018,17,K,15L,9,7,7,1.285714286,
09-05-2018,17,P,15L,9,7,7,1.285714286,
09-05-2018,18,C,22L,0,6,6,0,
09-05-2018,18,H,22L,1,6,6,0.166666667,
09-05-2018,18,K,22L,1,7,7,0.142857143,
09-05-2018,18,P,22L,2,7,7,0.285714286,
09-05-2018,19,C,22L,1,6,6,0.166666667,
09-05-2018,19,H,22L,0,4,4,0,
09-05-2018,19,K,22L,0,5,5,0,
09-05-2018,19,P,22L,0,3,3,0,
09-05-2018,20,C,15L,9,7,7,1.285714286,
09-05-2018,20,H,15L,8,7,7,1.142857143,
09-05-2018,20,K,15L,11,7,7,1.571428571,
09-05-2018,20,P,15L,11,7,7,1.571428571,
09-05-2018,21,C,15L,11,7,7,1.571428571,
09-05-2018,21,H,15L,11,7,7,1.571428571,
09-05-2018,21,K,15L,9,7,7,1.285714286,
09-05-2018,21,P,15L,10,7,7,1.428571429,
09-05-2018,22,C,22L,0,7,7,0,
09-05-2018,22,H,22L,2,4,4,0.5,
09-05-2018,22,K,22L,0,5,5,0,
09-05-2018,22,P,22L,1,1,1,1,
09-05-2018,23,C,22L,0,7,7,0,
09-05-2018,23,K,22L,2,7,7,0.285714286,
09-05-2018,23,P,22L,1,3,3,0.333333333,
09-05-2018,23,H,22L,0,3,3,0,
09-05-2018,24,H,15L,8,7,7,1.142857143,
09-05-2018,24,P,15L,11,7,7,1.571428571,
09-05-2018,24,C,15L,8,7,7,1.142857143,
09-05-2018,24,K,15L,12,7,7,1.714285714,
