date,stage,tank,treatment,pH,sal,temp,TA,TCO2,fCO2,pCO2,omega_Ca,omega_arag,notes
09-02-2018,final,20,15L,7.31,30.1,15.4,606.0224609,609.4777832,657.1064453,659.4758301,0.198699644,0.126280199,
09-02-2018,final,21,15L,7.4,30.3,15.2,721.8591919,717.7233276,630.3149414,632.5934448,0.288048017,0.18309688,
09-02-2018,final,22,22L,7.78,30.7,22.2,1390.237305,1293.423828,488.0846252,489.7009888,1.629005105,1.054571689,
09-02-2018,final,23,22L,7.8,30.7,22.1,1609.050903,1498.478638,538.7639771,540.550415,1.965231182,1.271889282,
09-02-2018,final,24,15L,7.35,30,14.4,814.0735474,819.8889771,802.6472778,805.5784912,0.281650558,0.178562583,
08-23-2018,mid2,1,19A,7.66,30.2,18.8,1079.82312,1030.28772,509.1307678,510.8895569,0.864639137,0.554006326,
08-23-2018,mid2,2,22A,7.77,30.4,21.4,1344.488403,1255.932495,484.5356445,486.156189,1.493842583,0.96412003,
08-23-2018,mid2,3,22A,7.85,30.9,21.5,1466.225708,1348.602539,428.2032471,429.633606,1.937584111,1.252710005,
08-23-2018,mid2,4,15A,7.63,29.1,15.1,1029.826172,997.4230957,520.5731812,522.4573975,0.662935095,0.419681482,
08-23-2018,mid2,5,19A,7.92,30.7,20,1779.953369,1632.170654,435.2225952,436.7037048,2.576580201,1.658364775,
08-23-2018,mid2,6,12A,7.84,29.6,13,1486.752808,1409.378052,442.6484985,444.2942505,1.4018863,0.88513534,
08-23-2018,mid2,7,15A,7.62,29.5,15.2,754.8757935,724.7012329,386.3585205,387.755188,0.476416659,0.302070574,
08-23-2018,mid2,8,22A,7.83,30.7,21.4,1219.957275,1119.927124,373.4844971,374.7336426,1.528969094,0.987683639,
08-23-2018,mid2,9,12A,7.69,29.4,12.4,978.2522583,942.0402832,419.5433655,421.1152649,0.649430016,0.409298355,
08-23-2018,mid2,10,19A,7.7,30.3,19.1,967.7600708,912.0620728,410.7330322,412.1465759,0.848981184,0.544542451,
08-23-2018,mid2,11,15A,7.64,29.5,16.2,882.6895142,846.7157593,433.6410522,435.1889038,0.605906393,0.385014968,
08-23-2018,mid2,12,12A,7.67,28.8,14.6,1080.77002,1043.126953,495.5498047,497.35495,0.740329018,0.46769796,
08-23-2018,mid2,13,19A,7.62,30.1,18.8,1027.089722,985.7040405,535.1470947,536.9957886,0.754042433,0.482992914,
08-23-2018,mid2,14,15A,7.69,29.7,15.4,1166.693848,1120.290649,507.5012512,509.3311768,0.874072241,0.554801944,
08-23-2018,mid2,15,22A,7.88,30.3,22.1,1543.515259,1412.890503,420.0215149,421.4141846,2.193285888,1.417758817,
08-23-2018,mid2,16,12A,7.69,30,16.3,1437.549438,1383.697388,629.0297852,631.2722168,1.124484767,0.715844426,
08-23-2018,mid2,17,15L,7.45,29.8,15.3,1168.239746,1163.999023,915.8104248,919.1168213,0.521925717,0.331317476,
08-23-2018,mid2,18,22L,7.66,30.2,20.7,1735.447266,1668.067139,832.9924927,835.8026733,1.505163978,0.969044788,
08-23-2018,mid2,19,22L,7.83,30.4,21.6,,,,,,,out of d :( 
08-23-2018,mid2,20,15L,7.42,30,15.1,753.7977295,748.3168335,628.6784668,630.9539795,0.311606237,0.197846624,
08-23-2018,mid2,21,15L,7.46,30.2,15.3,1008.427917,1000.060608,767.3582764,770.1287231,0.462631029,0.294044052,
08-23-2018,mid2,22,22L,7.68,30.3,22.4,1473.734375,1400.670776,672.7889404,675.0114746,1.412358063,0.913705125,
08-23-2018,mid2,23,22L,7.77,30.3,21.9,1712.731689,1609.760986,622.9446411,625.0151978,1.947349093,1.258103915,
08-23-2018,mid2,24,15L,7.58,30,15.1,1075.646606,1049.329102,611.3659668,613.5788574,0.633109021,0.401976814,
08-10-2018,mid1,1,19A,7.83,30.8,19,1269.413452,1175.738281,387.4672546,388.8023987,1.470495495,0.944360465,
08-10-2018,mid1,2,22A,7.86,30.7,23.2,1437.057495,1311.301636,409.8815918,411.2223511,2.042688462,1.326033097,
08-10-2018,mid1,3,22A,7.93,30.2,21,1484.821045,1346.923828,353.2380676,354.425354,2.234905672,1.439988338,
08-10-2018,mid1,4,15A,7.77,29.3,16.1,1031.915405,972.3129272,367.5381775,368.8517456,0.926576828,0.588259779,
08-10-2018,mid1,5,19A,7.99,30.5,19.5,1682.142944,1518.277466,341.0479736,342.2158813,2.728717267,1.75302397,
08-10-2018,mid1,6,12A,7.86,29.4,15.3,1391.900269,1304.797974,396.4414368,397.8727417,1.477299577,0.936570748,
08-10-2018,mid1,7,15A,7.76,30,15.6,1094.264038,1034.560791,397.409668,398.8390198,0.958399844,0.609170774,
08-10-2018,mid1,8,22A,7.87,30,22.1,1253.698975,1141.671875,348.4727783,349.6282043,1.725026362,1.114017705,
08-10-2018,mid1,9,12A,7.77,29.6,14.5,1223.231812,1162.957642,434.6677246,436.2530823,1.047809216,0.663591444,
08-10-2018,mid1,10,19A,7.82,30,19.1,1169.697144,1084.538086,368.1939087,369.4610596,1.312717649,0.841201326,
08-10-2018,mid1,11,15A,7.77,30.8,18.1,1222.697144,1147.83313,434.4095154,435.9234009,1.21445309,0.778223085,
08-10-2018,mid1,12,12A,7.78,29,17.3,1195.149902,1126.9021,419.7067566,421.1842041,1.143475301,0.727199349,
08-10-2018,mid1,13,19A,7.7,30.3,18.5,1184.047852,1125.338135,505.1098938,506.8613586,1.023794917,0.655705892,
08-10-2018,mid1,14,15A,7.81,30.4,16.3,1371.754883,1290.502197,441.0429993,442.6152344,1.383998505,0.882130995,
08-10-2018,mid1,15,22A,7.92,30.5,22.4,1588.381958,1439.713623,388.2000427,389.4824524,2.473002089,1.600859378,
08-10-2018,mid1,16,12A,7.81,30.1,19.1,1312.82251,1224.634644,425.5103149,426.974762,1.452415696,0.931013411,
08-10-2018,mid1,17,15L,7.7,30.4,17.6,1106.057129,1051.139893,469.1395569,470.78479,0.92561565,0.59173274,
08-10-2018,mid1,18,22L,7.78,29.7,21.2,1542.376099,1447.674194,547.4483032,549.2837524,1.725701217,1.110704501,
08-10-2018,mid1,19,22L,7.86,29.8,21.6,1609.07373,1486.135132,464.3860168,465.9353027,2.149133572,1.385151913,
08-10-2018,mid1,20,15L,7.66,30,14.7,1059.590332,1020.890686,492.9083557,494.7015686,0.728174069,0.46194292,
08-10-2018,mid1,21,15L,7.66,29.8,15.3,1216.499634,1175.123047,570.2034302,572.2620239,0.854737994,0.542586092,
08-10-2018,mid1,22,22L,7.78,30,22.8,1416.495605,1319.029419,501.5170898,503.1657104,1.678121375,1.085798284,
08-10-2018,mid1,23,22L,7.81,30,22.5,1604.071167,1491.862915,527.1513062,528.8905029,2.00551415,1.296564262,
08-10-2018,mid1,24,15L,7.72,30,17.9,1362.715576,1298.579712,555.288208,557.2282104,1.20106275,0.767420761,
09-02-2018,final_wiley,1,19A,7.689134598,30.3,19.3,1038.10083,984.9108886,,467.5971375,,0.561546076,
09-02-2018,final_wiley,2,22A,7.840442181,30.6,22.5,1429.250488,1316.753176,,442.1300964,,1.206635933,
09-02-2018,final_wiley,3,22A,7.8942976,29.3,21.8,1435.504639,1315.858526,,390.5395813,,1.282180849,
09-02-2018,final_wiley,4,15A,7.710410118,29.3,15.2,923.7167358,881.1866491,,391.2024231,,0.43512171,
09-02-2018,final_wiley,5,19A,7.952118874,30.5,20,1766.399536,1613.829448,,409.5855713,,1.701763281,
09-02-2018,final_wiley,6,12A,7.932283878,29.9,12.8,1560.911621,1462.340215,,378.5700989,,1.082717549,
09-02-2018,final_wiley,7,15A,7.705128193,29.8,15.4,870.4708252,828.4211097,,372.1046448,,0.410310705,
09-02-2018,final_wiley,8,22A,7.90030098,29.9,21.4,1395.920654,1275.592894,,370.8813782,,1.254928416,
09-02-2018,final_wiley,9,12A,7.74889946,29,13.3,1004.898438,959.4699354,,384.95755,,0.477184321,
09-02-2018,final_wiley,10,19A,7.783378601,30.3,19.3,1096.958496,1023.443319,,388.6967468,,0.72242232,
09-02-2018,final_wiley,11,15A,7.714531422,29.5,15.7,921.7839966,876.5894893,,385.6472168,,0.450016147,
09-02-2018,final_wiley,12,12A,7.717539787,28.8,13.1,913.9290771,875.6478184,,377.9986572,,0.400366586,
09-02-2018,final_wiley,13,19A,7.734170914,30.1,18.4,986.3042603,928.7599007,,395.1182251,,0.562571754,
09-02-2018,final_wiley,14,15A,7.755410194,29.7,15.3,1010.889771,957.8725591,,381.741333,,0.531810276,
09-02-2018,final_wiley,15,22A,7.952203274,30.8,22.3,1621.330688,1462.834948,,373.5613708,,1.702504488,
09-02-2018,final_wiley,16,12A,7.769050121,30.1,14.9,1027.393188,972.0948327,,373.8356628,,0.550018168,
09-02-2018,final_wiley,17,15L,7.62510252,29.7,15.7,817.1860962,786.5997537,,426.1614075,,0.329423393,
09-02-2018,final_wiley,18,22L,7.786905289,30.1,21.3,1471.275635,1378.973602,,525.5744629,,1.056972799,
09-02-2018,final_wiley,19,22L,7.894059658,30.6,21.5,1641.207642,1506.636979,,442.5040283,,1.491871827,
09-02-2018,final_wiley,20,15L,7.539620399,30.1,15.4,721.3834229,701.8182526,,460.8635254,,0.241207,
09-02-2018,final_wiley,21,15L,7.52803421,30.3,15.2,810.7421265,793.4909804,,534.6738281,,0.262724562,
09-02-2018,final_wiley,22,22L,7.832147598,30.7,22.2,1448.614258,1338.487039,,457.5958862,,1.192390607,
09-02-2018,final_wiley,23,22L,7.872797966,30.7,22.1,1692.312134,1558.466472,,482.5044556,,1.514699435,
09-02-2018,final_wiley,24,15L,7.599029541,30,14.4,921.536499,895.6528904,,509.3067932,,0.339440375,
