Date/Time,Unit,Value,
2019-03-25, 7:27:00 AM,C,11.5
2019-03-25, 8:27:00 AM,C,11.5
2019-03-25, 9:27:00 AM,C,11.5
2019-03-25, 10:27:00 AM,C,11.5
2019-03-26, 11:27:00 AM,C,11.5
2019-03-26, 12:27:00 PM,C,12
2019-03-26, 1:27:00 PM,C,12
2019-03-26, 2:27:00 PM,C,11
2019-03-26, 3:27:00 PM,C,11.5
2019-03-26, 4:27:00 PM,C,11.5
2019-03-26, 5:27:00 PM,C,11
2019-03-26, 6:27:00 PM,C,11
2019-03-26, 7:27:00 PM,C,11.5
2019-03-26, 8:27:00 PM,C,12
2019-03-26, 9:27:00 PM,C,12.5
2019-03-26, 10:27:00 PM,C,12
2019-03-26, 11:27:00 PM,C,23
2019-03-26, 12:27:00 AM,C,25.5
2019-03-26, 1:27:00 AM,C,23.5
2019-03-26, 2:27:00 AM,C,13.5
2019-03-26, 3:27:00 AM,C,13
2019-03-26, 4:27:00 AM,C,12.5
2019-03-26, 5:27:00 AM,C,12
2019-03-26, 6:27:00 AM,C,12
2019-03-26, 7:27:00 AM,C,11.5
2019-03-26, 8:27:00 AM,C,12
2019-03-26, 9:27:00 AM,C,11.5
2019-03-26, 10:27:00 AM,C,11.5
2019-03-27, 11:27:00 AM,C,12.5
2019-03-27, 12:27:00 PM,C,13.5
2019-03-27, 1:27:00 PM,C,13
2019-03-27, 2:27:00 PM,C,13
2019-03-27, 3:27:00 PM,C,14
2019-03-27, 4:27:00 PM,C,14
2019-03-27, 5:27:00 PM,C,13
2019-03-27, 6:27:00 PM,C,12.5
2019-03-27, 7:27:00 PM,C,13
2019-03-27, 8:27:00 PM,C,13.5
2019-03-27, 9:27:00 PM,C,13.5
2019-03-27, 10:27:00 PM,C,13.5
2019-03-27, 11:27:00 PM,C,14.5
2019-03-27, 12:27:00 AM,C,15
2019-03-27, 1:27:00 AM,C,17.5
2019-03-27, 2:27:00 AM,C,19
2019-03-27, 3:27:00 AM,C,15
2019-03-27, 4:27:00 AM,C,14
2019-03-27, 5:27:00 AM,C,14
2019-03-27, 6:27:00 AM,C,13.5
2019-03-27, 7:27:00 AM,C,13.5
2019-03-27, 8:27:00 AM,C,13
2019-03-27, 9:27:00 AM,C,12.5
2019-03-27, 10:27:00 AM,C,13
2019-03-28, 11:27:00 AM,C,13.5
2019-03-28, 12:27:00 PM,C,13.5
2019-03-28, 1:27:00 PM,C,13
2019-03-28, 2:27:00 PM,C,12.5
2019-03-28, 3:27:00 PM,C,12.5
2019-03-28, 4:27:00 PM,C,13.5
2019-03-28, 5:27:00 PM,C,14
2019-03-28, 6:27:00 PM,C,14
2019-03-28, 7:27:00 PM,C,13.5
2019-03-28, 8:27:00 PM,C,13.5
2019-03-28, 9:27:00 PM,C,13.5
2019-03-28, 10:27:00 PM,C,13.5
2019-03-28, 11:27:00 PM,C,13.5
2019-03-28, 12:27:00 AM,C,13.5
2019-03-28, 1:27:00 AM,C,14
2019-03-28, 2:27:00 AM,C,15.5
2019-03-28, 3:27:00 AM,C,14
2019-03-28, 4:27:00 AM,C,13.5
2019-03-28, 5:27:00 AM,C,13.5
2019-03-28, 6:27:00 AM,C,13
2019-03-28, 7:27:00 AM,C,13
2019-03-28, 8:27:00 AM,C,13
2019-03-28, 9:27:00 AM,C,13
2019-03-28, 10:27:00 AM,C,13
2019-03-29, 11:27:00 AM,C,13
2019-03-29, 12:27:00 PM,C,13
2019-03-29, 1:27:00 PM,C,13.5
2019-03-29, 2:27:00 PM,C,12
2019-03-29, 3:27:00 PM,C,11.5
2019-03-29, 4:27:00 PM,C,14
2019-03-29, 5:27:00 PM,C,16
2019-03-29, 6:27:00 PM,C,14
2019-03-29, 7:27:00 PM,C,14
2019-03-29, 8:27:00 PM,C,14
2019-03-29, 9:27:00 PM,C,13.5
2019-03-29, 10:27:00 PM,C,14
2019-03-29, 11:27:00 PM,C,14
2019-03-29, 12:27:00 AM,C,14
2019-03-29, 1:27:00 AM,C,14
2019-03-29, 2:27:00 AM,C,14
