Date/Time,Unit,Value,
2019-05-14, 1:49:00 AM,C,11
2019-05-14, 2:49:00 AM,C,11
2019-05-14, 3:49:00 AM,C,11
2019-05-14, 4:49:00 AM,C,11
2019-05-14, 5:49:00 AM,C,11
2019-05-14, 6:49:00 AM,C,11
2019-05-14, 7:49:00 AM,C,11
2019-05-14, 8:49:00 AM,C,11
2019-05-14, 9:49:00 AM,C,11
2019-05-14, 10:49:00 AM,C,11
2019-05-14, 11:49:00 AM,C,11
2019-05-14, 12:49:00 PM,C,11.5
2019-05-14, 1:49:00 PM,C,11.5
2019-05-14, 2:49:00 PM,C,11.5
2019-05-14, 3:49:00 PM,C,13.5
2019-05-14, 4:49:00 PM,C,15.5
2019-05-14, 5:49:00 PM,C,13
2019-05-14, 6:49:00 PM,C,12
2019-05-14, 7:49:00 PM,C,11.5
2019-05-14, 8:49:00 PM,C,11.5
2019-05-14, 9:49:00 PM,C,11.5
2019-05-14, 10:49:00 PM,C,11
2019-05-14, 11:49:00 PM,C,11.5
2019-05-15, 12:49:00 AM,C,11.5
2019-05-15, 1:49:00 AM,C,11.5
2019-05-15, 2:49:00 AM,C,11.5
2019-05-15, 3:49:00 AM,C,11.5
2019-05-15, 4:49:00 AM,C,11
2019-05-15, 5:49:00 AM,C,10.5
2019-05-15, 6:49:00 AM,C,11
2019-05-15, 7:49:00 AM,C,11.5
2019-05-15, 8:49:00 AM,C,11.5
2019-05-15, 9:49:00 AM,C,11.5
2019-05-15, 10:49:00 AM,C,11.5
2019-05-15, 11:49:00 AM,C,11.5
2019-05-15, 12:49:00 PM,C,11
2019-05-15, 1:49:00 PM,C,11.5
2019-05-15, 2:49:00 PM,C,12
2019-05-15, 3:49:00 PM,C,12.5
2019-05-15, 4:49:00 PM,C,15
2019-05-15, 5:49:00 PM,C,15.5
2019-05-15, 6:49:00 PM,C,12.5
2019-05-15, 7:49:00 PM,C,12
2019-05-15, 8:49:00 PM,C,10.5
2019-05-15, 9:49:00 PM,C,10
2019-05-15, 10:49:00 PM,C,11
2019-05-15, 11:49:00 PM,C,10.5
2019-05-16, 12:49:00 AM,C,10.5
2019-05-16, 1:49:00 AM,C,10.5
2019-05-16, 2:49:00 AM,C,11
2019-05-16, 3:49:00 AM,C,11
2019-05-16, 4:49:00 AM,C,11
2019-05-16, 5:49:00 AM,C,10.5
2019-05-16, 6:49:00 AM,C,10.5
2019-05-16, 7:49:00 AM,C,11
2019-05-16, 8:49:00 AM,C,11
2019-05-16, 9:49:00 AM,C,11
2019-05-16, 10:49:00 AM,C,11
2019-05-16, 11:49:00 AM,C,11
2019-05-16, 12:49:00 PM,C,11
2019-05-16, 1:49:00 PM,C,10.5
2019-05-16, 2:49:00 PM,C,11
2019-05-16, 3:49:00 PM,C,11
2019-05-16, 4:49:00 PM,C,11
2019-05-16, 5:49:00 PM,C,11
2019-05-16, 6:49:00 PM,C,11
2019-05-16, 7:49:00 PM,C,11
2019-05-16, 8:49:00 PM,C,11
2019-05-16, 9:49:00 PM,C,10.5
2019-05-16, 10:49:00 PM,C,10
2019-05-16, 11:49:00 PM,C,10.5
2019-05-17, 12:49:00 AM,C,11
2019-05-17, 1:49:00 AM,C,10.5
2019-05-17, 2:49:00 AM,C,10.5
2019-05-17, 3:49:00 AM,C,11
2019-05-17, 4:49:00 AM,C,11
2019-05-17, 5:49:00 AM,C,10.5
2019-05-17, 6:49:00 AM,C,10
