Date/Time,Unit,Value,
2019-06-04, 2:24:00 PM,C,20.5
2019-06-04, 3:24:00 PM,C,17.5
2019-06-04, 4:24:00 PM,C,17
2019-06-04, 5:24:00 PM,C,17
2019-06-04, 6:24:00 PM,C,17
2019-06-04, 7:24:00 PM,C,17
2019-06-04, 8:24:00 PM,C,17
2019-06-04, 9:24:00 PM,C,17.5
2019-06-04, 10:24:00 PM,C,17
2019-06-04, 11:24:00 PM,C,17
2019-06-05, 12:24:00 AM,C,17
2019-06-05, 1:24:00 AM,C,17
2019-06-05, 2:24:00 AM,C,17
2019-06-05, 3:24:00 AM,C,17
2019-06-05, 4:24:00 AM,C,17
2019-06-05, 5:24:00 AM,C,16.5
2019-06-05, 6:24:00 AM,C,16
2019-06-05, 7:24:00 AM,C,16
2019-06-05, 8:24:00 AM,C,16
2019-06-05, 9:24:00 AM,C,16
2019-06-05, 10:24:00 AM,C,16
2019-06-05, 11:24:00 AM,C,15.5
2019-06-05, 12:24:00 PM,C,15.5
2019-06-05, 1:24:00 PM,C,16
2019-06-05, 2:24:00 PM,C,16.5
2019-06-05, 3:24:00 PM,C,16.5
2019-06-05, 4:24:00 PM,C,18
2019-06-05, 5:24:00 PM,C,17.5
2019-06-05, 6:24:00 PM,C,17.5
2019-06-05, 7:24:00 PM,C,17.5
2019-06-05, 8:24:00 PM,C,17
2019-06-05, 9:24:00 PM,C,17
2019-06-05, 10:24:00 PM,C,16.5
2019-06-05, 11:24:00 PM,C,16.5
2019-06-06, 12:24:00 AM,C,16
2019-06-06, 1:24:00 AM,C,16
2019-06-06, 2:24:00 AM,C,16
2019-06-06, 3:24:00 AM,C,15.5
2019-06-06, 4:24:00 AM,C,15.5
2019-06-06, 5:24:00 AM,C,15.5
2019-06-06, 6:24:00 AM,C,15.5
2019-06-06, 7:24:00 AM,C,15.5
2019-06-06, 8:24:00 AM,C,13.5
2019-06-06, 9:24:00 AM,C,11.5
2019-06-06, 10:24:00 AM,C,11
2019-06-06, 11:24:00 AM,C,20
2019-06-06, 12:24:00 PM,C,14
2019-06-06, 1:24:00 PM,C,12.5
2019-06-06, 2:24:00 PM,C,11.5
2019-06-06, 3:24:00 PM,C,11
