Date/Time,Unit,Value,
2019-05-14, 3:43:00 AM,C,11.5
2019-05-14, 4:43:00 AM,C,11
2019-05-14, 5:43:00 AM,C,11
2019-05-14, 6:43:00 AM,C,11.5
2019-05-14, 7:43:00 AM,C,11.5
2019-05-14, 8:43:00 AM,C,11.5
2019-05-14, 9:43:00 AM,C,11.5
2019-05-14, 10:43:00 AM,C,11.5
2019-05-14, 11:43:00 AM,C,11.5
2019-05-14, 12:43:00 PM,C,11.5
2019-05-14, 1:43:00 PM,C,11.5
2019-05-14, 2:43:00 PM,C,12
2019-05-14, 3:43:00 PM,C,13
2019-05-14, 4:43:00 PM,C,15.5
2019-05-14, 5:43:00 PM,C,14
2019-05-14, 6:43:00 PM,C,12.5
2019-05-14, 7:43:00 PM,C,12
2019-05-14, 8:43:00 PM,C,12
2019-05-14, 9:43:00 PM,C,11.5
2019-05-14, 10:43:00 PM,C,11.5
2019-05-14, 11:43:00 PM,C,11.5
2019-05-15, 12:43:00 AM,C,11.5
2019-05-15, 1:43:00 AM,C,11.5
2019-05-15, 2:43:00 AM,C,12
2019-05-15, 3:43:00 AM,C,12
2019-05-15, 4:43:00 AM,C,11.5
2019-05-15, 5:43:00 AM,C,11.5
2019-05-15, 6:43:00 AM,C,11.5
2019-05-15, 7:43:00 AM,C,11.5
2019-05-15, 8:43:00 AM,C,11.5
2019-05-15, 9:43:00 AM,C,11.5
2019-05-15, 10:43:00 AM,C,12
2019-05-15, 11:43:00 AM,C,12
2019-05-15, 12:43:00 PM,C,11
2019-05-15, 1:43:00 PM,C,12
2019-05-15, 2:43:00 PM,C,13
2019-05-15, 3:43:00 PM,C,12.5
2019-05-15, 4:43:00 PM,C,14
2019-05-15, 5:43:00 PM,C,14.5
2019-05-15, 6:43:00 PM,C,12.5
2019-05-15, 7:43:00 PM,C,12
2019-05-15, 8:43:00 PM,C,11.5
2019-05-15, 9:43:00 PM,C,10
2019-05-15, 10:43:00 PM,C,11
2019-05-15, 11:43:00 PM,C,10.5
2019-05-16, 12:43:00 AM,C,11
2019-05-16, 1:43:00 AM,C,11
2019-05-16, 2:43:00 AM,C,11.5
2019-05-16, 3:43:00 AM,C,11.5
2019-05-16, 4:43:00 AM,C,11.5
2019-05-16, 5:43:00 AM,C,11
2019-05-16, 6:43:00 AM,C,10.5
2019-05-16, 7:43:00 AM,C,11.5
2019-05-16, 8:43:00 AM,C,11.5
2019-05-16, 9:43:00 AM,C,11
2019-05-16, 10:43:00 AM,C,11.5
2019-05-16, 11:43:00 AM,C,11.5
2019-05-16, 12:43:00 PM,C,11.5
2019-05-16, 1:43:00 PM,C,11
2019-05-16, 2:43:00 PM,C,11
2019-05-16, 3:43:00 PM,C,11.5
2019-05-16, 4:43:00 PM,C,12
2019-05-16, 5:43:00 PM,C,11.5
2019-05-16, 6:43:00 PM,C,11.5
2019-05-16, 7:43:00 PM,C,11.5
2019-05-16, 8:43:00 PM,C,11.5
2019-05-16, 9:43:00 PM,C,10.5
2019-05-16, 10:43:00 PM,C,10.5
2019-05-16, 11:43:00 PM,C,11
2019-05-17, 12:43:00 AM,C,11
2019-05-17, 1:43:00 AM,C,11
2019-05-17, 2:43:00 AM,C,11
2019-05-17, 3:43:00 AM,C,11
2019-05-17, 4:43:00 AM,C,11
2019-05-17, 5:43:00 AM,C,10.5
2019-05-17, 6:43:00 AM,C,10
2019-05-17, 7:43:00 AM,C,11
2019-05-17, 8:43:00 AM,C,11.5
2019-05-17, 9:43:00 AM,C,11.5
2019-05-17, 10:43:00 AM,C,11.5
2019-05-17, 11:43:00 AM,C,11.5
2019-05-17, 12:43:00 PM,C,11.5
2019-05-17, 1:43:00 PM,C,11.5
2019-05-17, 2:43:00 PM,C,12
2019-05-17, 3:43:00 PM,C,12
2019-05-17, 4:43:00 PM,C,13
2019-05-17, 5:43:00 PM,C,13
2019-05-17, 6:43:00 PM,C,14
2019-05-17, 7:43:00 PM,C,13.5
2019-05-17, 8:43:00 PM,C,12.5
2019-05-17, 9:43:00 PM,C,11
2019-05-17, 10:43:00 PM,C,12
2019-05-17, 11:43:00 PM,C,12
2019-05-18, 12:43:00 AM,C,12
2019-05-18, 1:43:00 AM,C,11
2019-05-18, 2:43:00 AM,C,11.5
2019-05-18, 3:43:00 AM,C,12
2019-05-18, 4:43:00 AM,C,12
2019-05-18, 5:43:00 AM,C,12
2019-05-18, 6:43:00 AM,C,11
2019-05-18, 7:43:00 AM,C,12
2019-05-18, 8:43:00 AM,C,13
2019-05-18, 9:43:00 AM,C,12.5
2019-05-18, 10:43:00 AM,C,12
2019-05-18, 11:43:00 AM,C,12
2019-05-18, 12:43:00 PM,C,11.5
2019-05-18, 1:43:00 PM,C,11
2019-05-18, 2:43:00 PM,C,10.5
2019-05-18, 3:43:00 PM,C,11
2019-05-18, 4:43:00 PM,C,11.5
2019-05-18, 5:43:00 PM,C,12.5
2019-05-18, 6:43:00 PM,C,13
2019-05-18, 7:43:00 PM,C,12.5
2019-05-18, 8:43:00 PM,C,12.5
2019-05-18, 9:43:00 PM,C,12
2019-05-18, 10:43:00 PM,C,11
2019-05-18, 11:43:00 PM,C,11
2019-05-19, 12:43:00 AM,C,11
2019-05-19, 1:43:00 AM,C,11
2019-05-19, 2:43:00 AM,C,10.5
2019-05-19, 3:43:00 AM,C,11
2019-05-19, 4:43:00 AM,C,11
2019-05-19, 5:43:00 AM,C,11.5
2019-05-19, 6:43:00 AM,C,10.5
2019-05-19, 7:43:00 AM,C,9.5
2019-05-19, 8:43:00 AM,C,9.5
2019-05-19, 9:43:00 AM,C,17.5
2019-05-19, 10:43:00 AM,C,13
2019-05-19, 11:43:00 AM,C,11
2019-05-19, 12:43:00 PM,C,11.5
2019-05-19, 1:43:00 PM,C,11.5
2019-05-19, 2:43:00 PM,C,11
2019-05-19, 3:43:00 PM,C,10.5
2019-05-19, 4:43:00 PM,C,10.5
2019-05-19, 5:43:00 PM,C,11.5
2019-05-19, 6:43:00 PM,C,12
2019-05-19, 7:43:00 PM,C,11.5
2019-05-19, 8:43:00 PM,C,11.5
2019-05-19, 9:43:00 PM,C,12
2019-05-19, 10:43:00 PM,C,12
2019-05-19, 11:43:00 PM,C,10.5
2019-05-20, 12:43:00 AM,C,12
2019-05-20, 1:43:00 AM,C,12
2019-05-20, 2:43:00 AM,C,11.5
2019-05-20, 3:43:00 AM,C,11
2019-05-20, 4:43:00 AM,C,11.5
2019-05-20, 5:43:00 AM,C,11.5
2019-05-20, 6:43:00 AM,C,12
2019-05-20, 7:43:00 AM,C,11.5
2019-05-20, 8:43:00 AM,C,11.5
2019-05-20, 9:43:00 AM,C,13.5
2019-05-20, 10:43:00 AM,C,13
2019-05-20, 11:43:00 AM,C,12
2019-05-20, 12:43:00 PM,C,12
2019-05-20, 1:43:00 PM,C,12
2019-05-20, 2:43:00 PM,C,11
2019-05-20, 3:43:00 PM,C,11
2019-05-20, 4:43:00 PM,C,10.5
2019-05-20, 5:43:00 PM,C,11.5
2019-05-20, 6:43:00 PM,C,12
2019-05-20, 7:43:00 PM,C,12
2019-05-20, 8:43:00 PM,C,12.5
2019-05-20, 9:43:00 PM,C,12.5
2019-05-20, 10:43:00 PM,C,12
2019-05-20, 11:43:00 PM,C,12
2019-05-21, 12:43:00 AM,C,12
2019-05-21, 1:43:00 AM,C,12
2019-05-21, 2:43:00 AM,C,12
2019-05-21, 3:43:00 AM,C,11.5
2019-05-21, 4:43:00 AM,C,11.5
2019-05-21, 5:43:00 AM,C,11.5
2019-05-21, 6:43:00 AM,C,12
2019-05-21, 7:43:00 AM,C,12
2019-05-21, 8:43:00 AM,C,12.5
2019-05-21, 9:43:00 AM,C,17
2019-05-21, 10:43:00 AM,C,22
2019-05-21, 11:43:00 AM,C,19
2019-05-21, 12:43:00 PM,C,13
2019-05-21, 1:43:00 PM,C,12.5
2019-05-21, 2:43:00 PM,C,11.5
2019-05-21, 3:43:00 PM,C,11
2019-05-21, 4:43:00 PM,C,11
2019-05-21, 5:43:00 PM,C,11
2019-05-21, 6:43:00 PM,C,11
2019-05-21, 7:43:00 PM,C,11.5
2019-05-21, 8:43:00 PM,C,13
2019-05-21, 9:43:00 PM,C,12.5
2019-05-21, 10:43:00 PM,C,12.5
2019-05-21, 11:43:00 PM,C,12
2019-05-22, 12:43:00 AM,C,10.5
2019-05-22, 1:43:00 AM,C,10.5
2019-05-22, 2:43:00 AM,C,10.5
2019-05-22, 3:43:00 AM,C,11.5
2019-05-22, 4:43:00 AM,C,11
2019-05-22, 5:43:00 AM,C,11
2019-05-22, 6:43:00 AM,C,11
2019-05-22, 7:43:00 AM,C,11.5
2019-05-22, 8:43:00 AM,C,11.5
2019-05-22, 9:43:00 AM,C,13
2019-05-22, 10:43:00 AM,C,16.5
2019-05-22, 11:43:00 AM,C,25.5
2019-05-22, 12:43:00 PM,C,14.5
2019-05-22, 1:43:00 PM,C,12.5
2019-05-22, 2:43:00 PM,C,12.5
2019-05-22, 3:43:00 PM,C,12.5
2019-05-22, 4:43:00 PM,C,12.5
2019-05-22, 5:43:00 PM,C,12
2019-05-22, 6:43:00 PM,C,11.5
2019-05-22, 7:43:00 PM,C,12
2019-05-22, 8:43:00 PM,C,12.5
2019-05-22, 9:43:00 PM,C,13
2019-05-22, 10:43:00 PM,C,12.5
2019-05-22, 11:43:00 PM,C,12
2019-05-23, 12:43:00 AM,C,12
2019-05-23, 1:43:00 AM,C,11.5
2019-05-23, 2:43:00 AM,C,11.5
2019-05-23, 3:43:00 AM,C,12
2019-05-23, 4:43:00 AM,C,11
2019-05-23, 5:43:00 AM,C,12
2019-05-23, 6:43:00 AM,C,12
2019-05-23, 7:43:00 AM,C,12.5
2019-05-23, 8:43:00 AM,C,12.5
2019-05-23, 9:43:00 AM,C,15.5
2019-05-23, 10:43:00 AM,C,20
2019-05-23, 11:43:00 AM,C,21.5
